viewer_gender,viewer_age,channel_display_name,channel_id,views,watch_time_minutes
Female,13–17 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,0.6,0.5
Female,18–24 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,3.9,3.5
Female,25–34 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,2.5,2.3
Female,35–44 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,0.9,0.9
Female,45–54 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,1.0,1.2
Female,55–64 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,0.2,0.2
Female,65+ years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,0.2,0.2
Male,13–17 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,4.4,4.8
Male,18–24 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,29.9,29.2
Male,25–34 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,38.6,39.0
Male,35–44 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,11.7,12.1
Male,45–54 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,4.0,4.0
Male,55–64 years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,0.9,0.9
Male,65+ years,Louis Weisz,OMrUmOTPD_AnSivjxptxpA,1.4,1.3
